district,schl1,enrollment,asian_pct,black_pct,hispanic_pct,white_pct,pct_frl,ed_lesshs,positive_env,mathscore_gain_std
3034,2488,523,0.003913894,0.009784736,0.019569471,0.925635993,0.239669427,7.699999809,0,0.576706033
3009,2474,609,0.03150912,0.013266998,0.016583748,0.912106156,0.017741935,3.299999952,0,1.951093528
1129,900,292,0,0.003225806,0,0.996774197,0.305637985,17.79999924,0,1.66234073
5904,6316,342,0,0,0,0.997245193,0.147138964,20,0,-0.28080707
5314,5193,535,0.020547945,0.037671234,0.010273973,0.91438359,0.103338633,9.800000191,0,0.228110564
369,385,802,0.038596492,0.003508772,0.025730994,0.906432748,0.19346733,16.29999924,0,0.236596654
239,186,286,,,,,,16,0,-0.057523306
3629,3066,474,0.002415459,0,0.012077294,0.956521749,0.420833334,15,1,-0.05436907
5744,6219,461,0.258351892,0.066815145,0.04454343,0.559020042,0.377224207,11.39999962,0,0.980748236
5929,6360,245,0.004016064,0,0,0.979919672,0.325925916,20.39999962,0,-1.738866899
5079,4866,121,0.007518797,0,0,0.984962404,0.246575348,22.20000076,1,0.871788292
5344,5318,692,0.005657709,0.178217828,0.154172555,0.63083452,0.578571431,13.80000019,0,-0.304082507
3299,2718,483,0.004301075,0.004301075,0.004301075,0.959139764,0.081140351,11.39999962,0,0.806016553
5344,5315,726,0.009957326,0.098150782,0.027027028,0.817923188,0.183020957,13.80000019,0,0.632698179
1304,1050,154,0,0,0.006756757,0.972972989,0.638418056,29.39999962,0,-1.693977902
4664,3847,497,0.008605852,0.012048192,0.04475043,0.905335605,0.066985646,12.39999962,0,0.50020374
2444,2002,423,0,0,0.009592326,0.976019204,0.319480523,13.89999962,0,-1.168462075
239,226,464,0.010548524,0.175105482,0.021097047,0.784810126,0.281800397,16,1,1.322907683
5489,5926,587,0.006908463,0.005181347,0.215889469,0.725388587,0.405405402,19.29999924,1,0.215015081
5079,4862,162,0,0,0,1,0.344444446,22.20000076,1,1.331700076
2924,2410,610,0.003430532,0,0.005145798,0.969125211,0.431999989,17.5,0,-1.074776224
4319,3542,524,0.001984127,0,0.005952381,0.984126985,0.385899805,20.39999962,0,2.207737677
2869,2394,358,0,0.236363634,0.084848486,0.551515162,0.559139788,24.29999924,0,-1.45837266
3194,2638,490,0,0.001876173,0.022514071,0.945590973,0.260960333,21.39999962,0,-0.414784942
